home_club_id,home_club_position,home_club_goals,home_club_manager_name,home_club_name,game_id
16,2,1,JÃ¼rgen Klopp,Borussia Dortmund,2231667
38,15,1,Norbert Meier,Fortuna DÃ¼sseldorf,2231669
294,2,2,Jorge Jesus,SL Benfica,2240053
2425,5,0,Nuno EspÃ­rito Santo,Rio Ave FC,2240084
2424,13,1,Paulo Alves,Gil Vicente FC,2240090
2420,9,2,Rui VitÃ³ria,VitÃ³ria GuimarÃ£es SC,2240196
714,17,1,Mauricio Pochettino,RCD Espanyol Barcelona,2242831
897,18,4,JosÃ© Luis Oltra,Deportivo de La CoruÃ±a,2242855
16795,16,1,Juan Anquela,Granada CF,2242866
897,7,1,JosÃ© Luis Oltra,Deportivo de La CoruÃ±a,2242885
1049,4,1,Ernesto Valverde,Valencia CF,2242969
714,18,2,Javier Aguirre,RCD Espanyol Barcelona,2243065
3368,8,2,Juan Ignacio MartÃ­nez,Levante UD,2243087
621,15,0,Marcelo Bielsa,Athletic Bilbao,2243111
237,19,1,Gregorio Manzano,RCD Mallorca,2243117
1049,5,2,Ernesto Valverde,Valencia CF,2243121
3709,8,1,Luis GarcÃ­a,Getafe CF,2243156
1084,5,1,Manuel Pellegrini,MÃ¡laga CF,2243196
3205,17,0,Shota Arveladze,Kayserispor,2243772
524,14,0,Hikmet Karaman,Gaziantepspor (- 2020),2243902
6890,12,0,Carlos Carvalhal,Basaksehir FK,2243906
589,2,4,Mehmet Ã–zdilek,Antalyaspor,2243917
6890,12,1,Carlos Carvalhal,Basaksehir FK,2243932
820,8,1,Fuat Capa,Genclerbirligi Ankara,2243939
2292,16,0,Yilmaz Vural,Elazigspor,2243977
3205,12,1,Robert Prosinecki,Kayserispor,2243987
524,14,0,Hikmet Karaman,Gaziantepspor (- 2020),2243992
10484,6,2,Shota Arveladze,Kasimpasa,2244012
20,8,1,Ertugrul Saglam,Bursaspor,2244020
2381,11,2,Riza Calimbay,Sivasspor,2244043
449,12,0,Tolunay Kafkas,Trabzonspor,2244078
20,5,3,Hikmet Karaman,Bursaspor,2244111
6890,14,0,BÃ¼lent Korkmaz,Basaksehir FK,2244122
3205,7,1,Robert Prosinecki,Kayserispor,2244139
449,10,1,Tolunay Kafkas,Trabzonspor,2244147
142,15,0,Manolo JimÃ©nez,Real Zaragoza,2244381
379,8,3,Sam Allardyce,West Ham United,2250053
192,10,1,Ger Senden,Roda JC Kerkrade,2250170
317,1,4,Steve McClaren,Twente Enschede FC,2250173
317,1,1,Steve McClaren,Twente Enschede FC,2250218
202,8,2,Robert Maaskant,FC Groningen,2250238
403,18,3,Jurgen Streppel,Willem II Tilburg,2250297
234,4,2,Ronald Koeman,Feyenoord Rotterdam,2250328
403,18,1,Jurgen Streppel,Willem II Tilburg,2250397
1269,13,3,Art Langeler,PEC Zwolle,2250402
2672,13,0,Georgios Paraschos,APO Levadiakos,2250477
21957,5,2,Giannis Chatzinikolaou,AO Platanias,2250488
252,16,0,Luigi Delneri,Genoa CFC,2251356
6195,3,1,Walter Mazzarri,SSC Napoli,2251368
458,15,3,Gian Piero Gasperini,Palermo FC,2251398
6195,2,5,Walter Mazzarri,SSC Napoli,2251410
458,17,0,Gian Piero Gasperini,Palermo FC,2251417
5,7,4,Massimiliano Allegri,AC Milan,2251429
12,6,4,ZdenÄ›k Zeman,AS Roma,2251439
398,3,1,Vladimir Petkovic,SS Lazio,2251488
800,16,2,Stefano Colantuono,Atalanta BC,2251510
1387,18,0,Giuseppe Iachini,Siena FC,2251513
5,3,2,Massimiliano Allegri,AC Milan,2251540
1038,14,1,Delio Rossi,UC Sampdoria,2251559
1519,2,3,Peter Houston,Dundee United FC,2251936
430,4,0,Vincenzo Montella,ACF Fiorentina,2252314
410,9,3,Francesco Guidolin,Udinese Calcio,2252318
984,7,2,Steve Clarke,West Bromwich Albion,2258943
405,18,0,Paul Lambert,Aston Villa,2258957
31,7,5,Brendan Rodgers,Liverpool FC,2258987
180,15,0,Mauricio Pochettino,Southampton FC,2258990
1032,17,2,Brian McDermott,Reading FC,2258998
29,5,2,David Moyes,Everton FC,2259003
16,,1,JÃ¼rgen Klopp,Borussia Dortmund,2262154
969,,1,RenÃ© Girard,Montpellier HSC,2262190
31,,1,Brendan Rodgers,Liverpool FC,2262441
3060,6,0,Dusan Bajevic,Atromitos Athens,2267569
1108,,0,Natxo GonzÃ¡lez,Deportivo AlavÃ©s,2269535
2448,,1,JosÃ© RamÃ³n Sandoval,Sporting GijÃ³n,2269539
16795,,2,Juan Anquela,Granada CF,2269560
265,7,1,Jesualdo Ferreira,Panathinaikos Athens,2270890
1435,,2,Erik ten Hag,Go Ahead Eagles,2271010
979,,5,Casquilha,Moreirense FC,2271098
2451,,2,Terry Butcher,Inverness Caledonian Thistle FC,2282401
993,,0,Rafa Berges,CÃ³rdoba CF,2282712
3368,,3,Juan Ignacio MartÃ­nez,Levante UD,2284471
338,,1,Oleg Blokhin,Dynamo Kyiv,2284475
21957,12,1,Angelos Anastasiadis,AO Platanias,2284884
2671,6,0,Giannis Christopoulos,PAS Giannina,2284894
2698,,0,Kurban Berdyev,Rubin Kazan,2289025
3060,4,0,,Atromitos Athens,2289248
605,14,1,Giannis Michalitsos,Aris Thessaloniki,2289262
265,5,1,Fabri GonzÃ¡lez,Panathinaikos Athens,2289281
3060,4,0,,Atromitos Athens,2289291
7185,8,2,Pavlos Dermitzakis,Panthrakikos Komotini,2289326
2698,,2,Kurban Berdyev,Rubin Kazan,2293175
1084,,0,Manuel Pellegrini,MÃ¡laga CF,2301897
762,,1,Alan Pardew,Newcastle United,2301914
2759,5,1,Derek Adams,Ross County FC,2311700
33,8,3,Jens Keller,FC Schalke 04,2321027
23,13,0,Torsten Lieberknecht,Eintracht Braunschweig,2321033
16,1,2,JÃ¼rgen Klopp,Borussia Dortmund,2321044
23,18,0,Torsten Lieberknecht,Eintracht Braunschweig,2321060
16,1,6,JÃ¼rgen Klopp,Borussia Dortmund,2321072
23,18,1,Torsten Lieberknecht,Eintracht Braunschweig,2321079
4,15,1,Michael Wiesinger,1.FC Nuremberg,2321086
44,7,0,Jos Luhukay,Hertha BSC,2321152
41,14,2,Bert van Marwijk,Hamburger SV,2321205
27,1,5,Pep Guardiola,Bayern Munich,2321217
41,17,0,Bert van Marwijk,Hamburger SV,2321233
23,18,3,Torsten Lieberknecht,Eintracht Braunschweig,2321294
16,2,2,JÃ¼rgen Klopp,Borussia Dortmund,2321307
167,8,0,Markus Weinzierl,FC Augsburg,2321330
33,3,0,Jens Keller,FC Schalke 04,2321335
121,5,2,Dan Petrescu,Dynamo Moscow,2323730
16704,15,1,Slavoljub Muslin,FK Krasnodar,2323731
2861,15,0,FrÃ©dÃ©ric Vanderbiest,KV Oostende,2329722
1411,16,1,Cedomir Janevski,RAEC Mons (- 2015),2329782
58,2,2,John van den Brom,RSC Anderlecht,2329799
618,6,2,Christophe Galtier,AS Saint-Ã‰tienne,2330874
14171,16,1,Pascal Dupraz,Thonon Ã‰vian Grand GenÃ¨ve FC,2330880
1423,18,0,Ariel Jacobs,Valenciennes FC,2330916
273,11,3,Philippe Montanier,Stade Rennais FC,2330968
1421,7,4,Hubert Fournier,Stade Reims,2330980
855,14,1,Jocelyn Gourvennec,EA Guingamp,2331006
273,15,0,Philippe Montanier,Stade Rennais FC,2331018
1147,20,3,Christian Bracconi,AC Ajaccio,2331034
855,14,0,Jocelyn Gourvennec,EA Guingamp,2331082
244,6,0,JosÃ© Anigo,Olympique Marseille,2331094
40,8,1,Francis Gillot,FC Girondins Bordeaux,2331101
750,19,1,HervÃ© Renard,FC Sochaux-MontbÃ©liard,2331107
417,11,0,Claude Puel,OGC Nice,2331110
1423,19,2,Ariel Jacobs,Valenciennes FC,2331123
1423,18,1,Ariel Jacobs,Valenciennes FC,2331135
162,2,1,Claudio Ranieri,AS Monaco,2331162
379,19,3,Sam Allardyce,West Ham United,2331988
873,19,0,Ian Holloway,Crystal Palace,2332000
984,16,1,Keith Downing,West Bromwich Albion,2332021
180,8,2,Mauricio Pochettino,Southampton FC,2332041
289,20,3,Gustavo Poyet,Sunderland AFC,2332050
379,15,3,Sam Allardyce,West Ham United,2332053
1123,14,1,Chris Hughton,Norwich City,2332074
762,8,0,Alan Pardew,Newcastle United,2332184
180,9,2,Mauricio Pochettino,Southampton FC,2332188
11,2,0,ArsÃ¨ne Wenger,Arsenal FC,2332222
984,18,1,Pepe Mel,West Bromwich Albion,2332223
405,10,4,Paul Lambert,Aston Villa,2332234
873,14,1,Tony Pulis,Crystal Palace,2332235
29,5,2,Roberto MartÃ­nez,Everton FC,2332259
405,15,0,Paul Lambert,Aston Villa,2332288
281,1,4,Manuel Pellegrini,Manchester City,2332298
465,8,0,Danny Lennon,St. Mirren FC,2334909
43,12,0,Gary Locke,Heart of Midlothian FC,2334939
43,12,0,Gary Locke,Heart of Midlothian FC,2334948
465,8,1,Danny Lennon,St. Mirren FC,2334986
1519,5,2,Jackie McNamara,Dundee United FC,2334996
2759,9,1,Derek Adams,Ross County FC,2335021
121,11,1,Dan Petrescu,Dynamo Moscow,2335072
2700,16,0,Gadzhi Gadzhiev,Anzhi Makhachkala ( -2022),2335158
1083,8,0,Miodrag Bozovic,FK Rostov,2335181
1083,10,0,Miodrag Bozovic,FK Rostov,2335202
121,4,4,Dan Petrescu,Dynamo Moscow,2335209
2698,10,2,Rinat Bilyaletdinov,Rubin Kazan,2335225
932,2,2,Leonid Kuchuk,Lokomotiv Moscow,2335226
932,2,0,Leonid Kuchuk,Lokomotiv Moscow,2335237
2700,16,4,Gadzhi Gadzhiev,Anzhi Makhachkala ( -2022),2335245
3725,11,3,Rashid Rakhimov,Akhmat Grozny,2335248
2698,9,3,Rinat Bilyaletdinov,Rubin Kazan,2335264
4128,8,1,Konstantin Paramonov,Amkar Perm,2335276
964,1,2,AndrÃ© Villas-Boas,Zenit St. Petersburg,2335284
16704,6,1,Oleg Kononov,FK Krasnodar,2335291
2700,16,0,Gadzhi Gadzhiev,Anzhi Makhachkala ( -2022),2335296
6414,2,4,Myron Markevych,Metalist Kharkiv (- 2016),2335657
10690,4,2,Yuriy Vernydub,Zorya Lugansk,2335661
16245,8,1,Oleg Kononov,FK Sevastopol (- 2014),2335662
6994,12,2,Sergiy Puchkov,Metalurg Zaporizhya (-2016),2335681
2227,15,3,Giannis Christopoulos,SK Tavriya Simferopol ( - 2022),2335714
338,6,9,Oleg Blokhin,Dynamo Kyiv,2335726
2783,8,4,Sergey Tashuev,Metalurg Donetsk (- 2015),2335761
6993,11,3,Mykola Pavlov,FK Mariupol,2335766
6994,14,0,Oleg Taran,Metalurg Zaporizhya (-2016),2335773
2227,15,0,Nikolay Kostov,SK Tavriya Simferopol ( - 2022),2335778
6994,14,0,Oleg Taran,Metalurg Zaporizhya (-2016),2335782
6994,15,0,Oleg Taran,Metalurg Zaporizhya (-2016),2335794
338,3,4,Oleg Blokhin,Dynamo Kyiv,2335805
16245,9,0,Angel Chervenkov,FK Sevastopol (- 2014),2335817
6414,3,2,Igor Rakhaev,Metalist Kharkiv (- 2016),2335835
68608,11,2,Mitchell van der Gaag,CF Os Belenenses,2340228
2424,7,1,JoÃ£o de Deus,Gil Vicente FC,2340276
4750,15,2,Giuseppe Galderisi,SC Olhanense,2340284
1085,7,3,JosÃ© Couceiro,VitÃ³ria SetÃºbal FC,2340365
294,1,1,Jorge Jesus,SL Benfica,2340384
