away_club_id,away_club_position,away_club_goals,away_club_manager_name,away_club_name,game_id
65,18,0,Frank Kramer,SpVgg Greuther FÃ¼rth,2231652
533,16,2,Markus Gisdol,TSG 1899 Hoffenheim,2231667
4,13,2,Michael Wiesinger,1.FC Nuremberg,2231669
1436,16,1,Ulisses Morais,SC Beira-Mar,2240053
294,2,1,Jorge Jesus,SL Benfica,2240084
1436,14,2,Ulisses Morais,SC Beira-Mar,2240090
1436,16,1,Ulisses Morais,SC Beira-Mar,2240196
142,11,2,Manolo JimÃ©nez,Real Zaragoza,2242831
131,1,5,Tito Vilanova,FC Barcelona,2242855
142,14,2,Manolo JimÃ©nez,Real Zaragoza,2242866
3709,10,1,Luis GarcÃ­a,Getafe CF,2242885
16795,16,0,Lucas Alcaraz,Granada CF,2242969
897,20,0,JosÃ© Luis Oltra,Deportivo de La CoruÃ±a,2243065
366,10,1,Miroslav Djukic,Real Valladolid CF,2243087
714,13,4,Javier Aguirre,RCD Espanyol Barcelona,2243111
331,17,1,JosÃ© Luis Mendilibar,CA Osasuna,2243117
237,19,0,Gregorio Manzano,RCD Mallorca,2243121
621,14,0,Marcelo Bielsa,Athletic Bilbao,2243156
331,15,0,JosÃ© Luis Mendilibar,CA Osasuna,2243196
20,3,1,Ertugrul Saglam,Bursaspor,2243772
589,7,1,Mehmet Ã–zdilek,Antalyaspor,2243902
820,3,2,Fuat Capa,Genclerbirligi Ankara,2243906
2381,9,2,Riza Calimbay,Sivasspor,2243917
141,1,3,Fatih Terim,Galatasaray,2243932
2292,18,2,Yilmaz Vural,Elazigspor,2243939
524,15,0,Hikmet Karaman,Gaziantepspor (- 2020),2243977
10484,7,0,Shota Arveladze,Kasimpasa,2243987
1506,12,2,Mesut Bakkal,Kardemir KarabÃ¼kspor,2243992
820,9,2,Fuat Capa,Genclerbirligi Ankara,2244012
2323,11,0,HÃ©ctor CÃºper,Orduspor,2244020
1506,15,1,Suat Sarican,Kardemir KarabÃ¼kspor,2244043
36,2,3,Aykut Kocaman,Fenerbahce,2244078
449,13,2,Tolunay Kafkas,Trabzonspor,2244111
3205,7,0,Robert Prosinecki,Kayserispor,2244122
2381,12,1,Riza Calimbay,Sivasspor,2244139
2323,17,0,HÃ©ctor CÃºper,Orduspor,2244147
366,6,1,Miroslav Djukic,Real Valladolid CF,2244381
631,3,1,Rafael BenÃ­tez,Chelsea FC,2250053
1269,12,1,Art Langeler,PEC Zwolle,2250170
202,18,1,Robert Maaskant,FC Groningen,2250173
306,16,0,Marco van Basten,SC Heerenveen,2250218
234,5,2,Ronald Koeman,Feyenoord Rotterdam,2250238
306,13,1,Marco van Basten,SC Heerenveen,2250297
202,11,1,Robert Maaskant,FC Groningen,2250328
1426,17,0,Ton Lokhoff,VVV-Venlo,2250397
192,16,2,Ruud Brood,Roda JC Kerkrade,2250402
265,6,1,Jesualdo Ferreira,Panathinaikos Athens,2250477
7185,13,0,Savvas Pantelidis,Panthrakikos Komotini,2250488
430,5,1,Vincenzo Montella,ACF Fiorentina,2251356
416,13,1,Gian Piero Ventura,Torino FC,2251368
1627,8,1,Rolando Maran,Catania FC,2251398
2921,20,1,Cristiano Bergodi,Delfino Pescara 1936,2251410
506,1,1,Antonio Conte,Juventus FC,2251417
2921,18,1,Cristiano Bergodi,Delfino Pescara 1936,2251429
5,7,2,Massimiliano Allegri,AC Milan,2251439
6195,2,1,Walter Mazzarri,SSC Napoli,2251488
12,8,3,Aurelio Andreazzoli,AS Roma,2251510
800,15,2,Stefano Colantuono,Atalanta BC,2251513
458,19,0,Giuseppe Sannino,Palermo FC,2251540
458,18,3,Giuseppe Sannino,Palermo FC,2251559
511,12,0,Barry Smith,Dundee FC,2251936
2921,15,2,Cristiano Bergodi,Delfino Pescara 1936,2252314
46,5,0,Andrea Stramaccioni,Inter Milan,2252318
1123,10,1,Chris Hughton,Norwich City,2258943
1071,17,3,Roberto MartÃ­nez,Wigan Athletic,2258957
1123,13,0,Chris Hughton,Norwich City,2258987
29,5,0,David Moyes,Everton FC,2258990
631,3,2,Rafael BenÃ­tez,Chelsea FC,2258998
984,9,1,Steve Clarke,West Bromwich Albion,2259003
610,,0,Frank de Boer,Ajax Amsterdam,2262154
683,,2,Leonardo Jardim,Olympiacos Piraeus,2262190
2700,,0,Guus Hiddink,Anzhi Makhachkala ( -2022),2262441
2672,14,0,Georgios Paraschos,APO Levadiakos,2267569
131,,3,Tito Vilanova,FC Barcelona,2269535
331,,0,JosÃ© Luis Mendilibar,CA Osasuna,2269539
142,,1,Manolo JimÃ©nez,Real Zaragoza,2269560
2441,16,0,Ewald Lienen,AEK Athens,2270890
1269,,3,Art Langeler,PEC Zwolle,2271010
3349,,2,Quim Machado,CD Feirense,2271098
2759,,1,Derek Adams,Ross County FC,2282401
