away_club_id,away_club_position,away_club_goals,away_club_manager_name,away_club_name,game_id
141,5,2,Fatih Terim,Galatasaray,3612863
36,6,0,VÃ­tor Pereira,Fenerbahce,3612880
3840,10,2,Vincenzo Montella,Adana Demirspor,3612907
126,20,1,Hamza Hamzaoglu,Caykur Rizespor,3612936
3840,10,0,Vincenzo Montella,Adana Demirspor,3612976
36,6,2,VÃ­tor Pereira,Fenerbahce,3612983
141,9,0,Selcuk Inan,Galatasaray,3612988
11688,15,0,Hakan Keles,Giresunspor,3612989
19789,20,0,Marius Sumudica,Yeni Malatyaspor,3613020
3840,6,1,Vincenzo Montella,Adana Demirspor,3613021
2293,2,3,Ilhan Palut,Konyaspor,3613119
5,8,1,Stefano Pioli,AC Milan,3614512
6195,5,2,Luciano Spalletti,SSC Napoli,3614533
252,18,2,Davide Ballardini,Genoa CFC,3614615
5,2,3,Stefano Pioli,AC Milan,3614659
607,16,0,Paolo Zanetti,Venezia FC,3614677
800,4,3,Gian Piero Gasperini,Atalanta BC,3614693
276,10,4,Igor Tudor,Hellas Verona,3614697
6195,2,1,Luciano Spalletti,SSC Napoli,3614713
410,15,0,Gabriele Cioffi,Udinese Calcio,3614750
380,19,1,Stefano Colantuono,US Salernitana 1919,3614755
800,5,0,Gian Piero Gasperini,Atalanta BC,3614780
5,1,2,Stefano Pioli,AC Milan,3614784
5,1,2,Stefano Pioli,AC Milan,3614873
430,7,0,Vincenzo Italiano,ACF Fiorentina,3614882
12,6,0,JosÃ© Mourinho,AS Roma,3614888
416,10,1,Ivan Juric,Torino FC,3614901
6912,11,0,Ãlvaro Pacheco,FC Vizela,3621367
2503,5,1,JoÃ£o Pedro Sousa,Boavista FC,3621382
3329,17,2,Ivo Vieira,FC FamalicÃ£o,3621387
2995,9,1,Jorge SimÃ£o,FC PaÃ§os de Ferreira,3621408
2503,11,1,JoÃ£o Pedro Sousa,Boavista FC,3621445
2995,11,0,CÃ©sar Peixoto,FC PaÃ§os de Ferreira,3621446
7179,10,2,Pako AyestarÃ¡n,CD Tondela,3621458
8024,12,1,Armando Evangelista,FC Arouca,3621477
3329,13,5,Ivo Vieira,FC FamalicÃ£o,3621479
2424,5,1,Ricardo Soares,Gil Vicente FC,3621604
2457,18,1,Franclim Carvalho,B SAD,3621611
2503,13,0,Petit,Boavista FC,3621612
2578,,1,Callum Davidson,St. Johnstone FC,3628818
49702,,1,Aleksandr Kerzhakov,FC Pari Nizhniy Novgorod,3646613
553,13,0,Dimitrios Spanos,Ionikos Nikeas,3650363
2282,,2,Philippe Clement,Club Brugge KV,3651062
583,,1,Mauricio Pochettino,Paris Saint-Germain,3651117
23826,,5,Achim Beierlorzer,RB Leipzig,3651118
27,,3,Julian Nagelsmann,Bayern Munich,3651142
1096,,2,Brian Priske,Royal Antwerp FC,3651940
124,,1,Steven Gerrard,Rangers FC,3660447
3999,11,0,Michalis Grigoriou,PAS Lamia 1964,3673454
441,14,0,Gianluca Festa,Apollon Smyrnis,3673563
1283,,3,Dick Lukkien,FC Emmen,3683413
350,,0,Paul Heckingbottom,Sheffield United,3710357
610,,2,Erik ten Hag,Ajax Amsterdam,3714216
653,8,1,Nikolaos Nioplias,OFI Crete FC,3716692
6418,,1,Giannis Anastasiou,Panetolikos GFS,3722206
653,8,2,Nikolaos Nioplias,OFI Crete FC,3731384
2441,3,0,Argirios Giannikis,AEK Athens,3731390
1110,,1,Carlos CorberÃ¡n,Huddersfield Town,3758676
800,,1,Gian Piero Gasperini,Atalanta BC,3773619
27,,5,Julian Nagelsmann,Bayern Munich,3822486
5724,7,0,Thomas Thomasberg,Randers FC,3828424
173,8,2,Andreas Alm,Odense Boldklub,3828466
206,9,3,Niels Frederiksen,BrÃ¶ndby IF,3828482
989,17,0,Scott Parker,AFC Bournemouth,3837849
180,12,0,Ralph HasenhÃ¼ttl,Southampton FC,3837981
543,16,0,Julen Lopetegui,Wolverhampton Wanderers,3837994
989,13,1,Gary O'Neil,AFC Bournemouth,3838004
873,12,0,Patrick Vieira,Crystal Palace,3838242
11,1,2,Mikel Arteta,Arsenal FC,3838245
31,5,3,JÃ¼rgen Klopp,Liverpool FC,3838620
379,18,0,David Moyes,West Ham United,3838717
29,18,0,Sean Dyche,Everton FC,3838764
167,13,1,Enrico MaaÃŸen,FC Augsburg,3839122
533,5,1,AndrÃ© Breitenreiter,TSG 1899 Hoffenheim,3839156
86,5,2,Ole Werner,SV Werder Bremen,3839162
44,15,2,Sandro Schwarz,Hertha BSC,3839178
23826,8,3,Marco Rose,RB Leipzig,3839202
18,11,1,Daniel Farke,Borussia MÃ¶nchengladbach,3839215
16,4,2,Edin Terzic,Borussia Dortmund,3839217
44,14,0,Sandro Schwarz,Hertha BSC,3839221
167,14,2,Enrico MaaÃŸen,FC Augsburg,3839251
3,10,1,Steffen Baumgart,1.FC KÃ¶ln,3839294
44,16,1,Sandro Schwarz,Hertha BSC,3839450
44,18,2,Sandro Schwarz,Hertha BSC,3839490
80,17,0,Thomas Letsch,VfL Bochum,3839533
27,1,2,Thomas Tuchel,Bayern Munich,3839585
167,15,0,Enrico MaaÃŸen,FC Augsburg,3839586
826,3,4,Franck Haise,RC Lens,3839816
583,1,7,Christophe Galtier,Paris Saint-Germain,3839819
995,15,2,Antoine KombouarÃ©,FC Nantes,3840020
1082,8,1,Paulo Fonseca,LOSC Lille,3840021
1158,3,3,RÃ©gis Le Bris,FC Lorient,3840027
244,2,3,Igor Tudor,Olympique Marseille,3840042
3524,8,1,Pascal Gastien,Clermont Foot 63,3840060
1147,19,0,Olivier Pantaloni,AC Ajaccio,3840079
995,16,0,Antoine KombouarÃ©,FC Nantes,3840096
290,15,1,Christophe PÃ©lissier,AJ Auxerre,3840098
417,8,3,Didier Digard,OGC Nice,3840173
1147,19,0,Olivier Pantaloni,AC Ajaccio,3840190
162,3,2,Philippe Clement,AS Monaco,3840218
826,3,4,Franck Haise,RC Lens,3840223
162,4,2,Philippe Clement,AS Monaco,3840259
1147,18,0,Olivier Pantaloni,AC Ajaccio,3840419
3524,8,3,Pascal Gastien,Clermont Foot 63,3840451
2696,8,0,Igor Osinjkin,Krylya Sovetov Samara,3842707
2919,19,0,Giovanni Stroppa,AC Monza,3844772
6195,1,4,Luciano Spalletti,SSC Napoli,3844817
410,7,0,Andrea Sottil,Udinese Calcio,3844846
506,7,1,Massimiliano Allegri,Juventus FC,3844911
46,2,0,Simone Inzaghi,Inter Milan,3844954
380,16,0,Paulo Sousa,US Salernitana 1919,3844982
416,8,2,Ivan Juric,Torino FC,3844991
1005,15,0,Marco Baroni,US Lecce,3844997
2239,20,1,Davide Ballardini,US Cremonese,3845000
800,7,3,Gian Piero Gasperini,Atalanta BC,3845007
410,12,0,Andrea Sottil,Udinese Calcio,3845032
1005,16,1,Marco Baroni,US Lecce,3845059
416,9,2,Ivan Juric,Torino FC,3845064
800,7,0,Gian Piero Gasperini,Atalanta BC,3845083
800,5,2,Gian Piero Gasperini,Atalanta BC,3845099
430,11,2,Vincenzo Italiano,ACF Fiorentina,3845154
232,1,2,Guillermo Abascal,Spartak Moscow,3845637
3508,7,1,Mbaye Leye,SV Zulte Waregem,3851065
968,13,1,Jonas De Roeck,KVC Westerlo,3851071
354,13,0,Steven Defour,KV Mechelen,3851116
354,13,0,Danny Buijs,KV Mechelen,3851139
157,5,2,Hein Vanhaezebrouck,KAA Gent,3851160
2861,17,0,Yves Vanderhaeghe,KV Oostende,3851166
58,9,2,Felice MazzÃ¹,RSC Anderlecht,3851169
3508,17,2,Mbaye Leye,SV Zulte Waregem,3851197
2727,8,1,Marc Brys,Oud-Heverlee Leuven,3851290
1096,3,3,Mark van Bommel,Royal Antwerp FC,3851297
1184,1,3,Wouter Vrancken,KRC Genk,3851324
58,8,1,Brian Riemer,RSC Anderlecht,3851333
2282,5,0,Rik De Mil,Club Brugge KV,3851359
1435,13,1,RenÃ© Hake,Go Ahead Eagles,3852567
202,14,0,Frank Wormuth,FC Groningen,3852603
499,14,1,Phillip Cocu,Vitesse Arnhem,3852630
1090,3,1,Pascal Jansen,AZ Alkmaar,3852717
468,5,3,Maurice Steijn,Sparta Rotterdam,3852765
2832,8,2,Erol Bulut,Gaziantep FK,3860247
141,1,0,Okan Buruk,Galatasaray,3860267
2293,10,4,Ilhan Palut,Konyaspor,3860276
6646,17,1,Andrea Pirlo,Fatih KaragÃ¼mrÃ¼k,3860294
11688,17,1,Hakan Keles,Giresunspor,3860303
36,2,2,Jorge Jesus,Fenerbahce,3860316
2293,7,3,Ilhan Palut,Konyaspor,3860326
11688,11,2,Hakan Keles,Giresunspor,3860352
924,18,0,Fatih Tekke,Istanbulspor,3860367
36,2,3,Jorge Jesus,Fenerbahce,3860404
24245,17,0,Mustafa Er,Ãœmraniyespor,3860434
3840,4,3,Vincenzo Montella,Adana Demirspor,3860456
589,12,3,Nuri Sahin,Antalyaspor,3860469
10484,11,0,Kemal Ã–zdes,Kasimpasa,3860474
589,12,1,Nuri Sahin,Antalyaspor,3860487
11282,12,2,Ersun Yanal,Alanyaspor,3860496
10484,10,3,Kemal Ã–zdes,Kasimpasa,3860529
2293,7,0,Aleksandar Stanojevic,Konyaspor,3860530
3329,16,0,Rui Pedro Silva,FC FamalicÃ£o,3869092
2420,9,2,Moreno,VitÃ³ria GuimarÃ£es SC,3869097
2423,16,1,MÃ¡rio Silva,CD Santa Clara,3869125
2425,12,1,LuÃ­s Freire,Rio Ave FC,3869163
2424,14,3,Daniel Sousa,Gil Vicente FC,3869186
2503,9,0,Petit,Boavista FC,3869192
8024,8,1,Armando Evangelista,FC Arouca,3869196
2425,8,2,LuÃ­s Freire,Rio Ave FC,3869201
3268,7,0,Filipe Martins,Casa Pia AC,3869336
2687,20,0,Sergio,CÃ¡diz CF,3885853
366,17,1,Pacheta,Real Valladolid CF,3886294
366,17,0,Pacheta,Real Valladolid CF,3886322
331,9,0,Jagoba Arrasate,CA Osasuna,3886327
1050,9,0,Unai Emery,Villarreal CF,3886330
2687,14,2,Sergio,CÃ¡diz CF,3886611
621,7,0,Ernesto Valverde,Athletic Bilbao,3886694
2671,12,0,Athanasios Staikos,PAS Giannina,3888990
683,3,2,Michel,Olympiacos Piraeus,3889033
265,1,2,Ivan Jovanovic,Panathinaikos Athens,3889042
2441,2,1,MatÃ­as Almeyda,AEK Athens,3889057
605,6,4,Alan Pardew,Aris Thessaloniki,3889076
2441,2,1,MatÃ­as Almeyda,AEK Athens,3889098
3060,7,1,Chris Coleman,Atromitos Athens,3889125
2672,13,0,Jasminko Velic,APO Levadiakos,3889134
683,3,3,Michel,Olympiacos Piraeus,3889147
49702,13,1,Mikhail Galaktionov,FC Pari Nizhniy Novgorod,3889521
2410,3,0,Vladimir Fedotov,CSKA Moscow,3889535
121,6,1,Slavisa Jokanovic,Dynamo Moscow,3889544
903,,0,Lee Johnson,Hibernian FC,3890043
1519,12,0,Jim Goodwin,Dundee United FC,3890061
2578,5,1,Callum Davidson,St. Johnstone FC,3890125
1519,11,1,Liam Fox,Dundee United FC,3890150
370,5,3,Barry Robson,Aberdeen FC,3890161
903,9,2,Lee Johnson,Hibernian FC,3890177
2578,8,1,Callum Davidson,St. Johnstone FC,3890182
370,5,0,Jim Goodwin,Aberdeen FC,3890192
2759,12,0,Malky Mackay,Ross County FC,3890202
2553,10,0,Derek McInnes,Kilmarnock FC,3890209
2759,12,1,Malky Mackay,Ross County FC,3890218
338,,0,Mircea Lucescu,Dynamo Kyiv,3898927
49364,11,1,Sergiy Lavrynenko,Ingulets Petrove,3902066
3592,16,2,Yuriy Vernydub,Kryvbas Kryvyi Rig,3902091
14589,,0,Marcel Licka,FK Orenburg,3909948
660,2,2,Igor Jovicevic,Shakhtar Donetsk,3909963
6195,,0,Luciano Spalletti,SSC Napoli,3911724
610,,2,Alfred Schreuder,Ajax Amsterdam,3911726
865,,2,Albert Capellas,FC Midtjylland,3912599
60,,3,Christian Streich,SC Freiburg,3912607
683,,1,Carlos CorberÃ¡n,Olympiacos Piraeus,3912615
49702,10,0,Mikhail Galaktionov,FC Pari Nizhniy Novgorod,3925902
932,13,1,Andrey Fedorov,Lokomotiv Moscow,3925926
1186,16,0,Andrey Talalaev,Torpedo Moscow,3925947
26459,6,3,Yuriy Virt,NK Veres Rivne,3944821
26459,6,4,Yuriy Virt,NK Veres Rivne,3944851
416,,1,Ivan Juric,Torino FC,3947772
18303,5,1,Yuriy Gura,FK Oleksandriya,3947820
2740,8,2,Viktor Skrypnyk,Vorskla Poltava,3953972
24,,0,Oliver Glasner,Eintracht Frankfurt,3956688
190,,0,Jacob Neestrup,FC Copenhagen,3959395
660,1,7,Igor Jovicevic,Shakhtar Donetsk,3975245
60551,2,2,Oleksandr Kucher,SK Dnipro-1,3975248
13,,2,Diego Simeone,AtlÃ©tico de Madrid,3997412
11127,10,1,Viktor Goncharenko,Ural Yekaterinburg,3999361
3719,15,2,Spartak Gogniev,FK Khimki,3999365
800,,0,Gian Piero Gasperini,Atalanta BC,4003973
2441,,1,MatÃ­as Almeyda,AEK Athens,4013640
48726,15,0,Vitaliy Ponomarev,Rukh Lviv,4036082
10690,3,0,Patrick van Leeuwen,Zorya Lugansk,4036098
18105,16,2,Anatoliy Bezsmertnyi,PFK Lviv,4036099
6195,,0,Luciano Spalletti,SSC Napoli,4041603
5,,1,Stefano Pioli,AC Milan,4041606
1124,14,0,Dmitriy Pyatibratov,Fakel Voronezh,4042709
3719,16,0,Rinat Bilyaletdinov,FK Khimki,4053055
1177,,1,Kent Nielsen,Silkeborg IF,4055002
23826,,5,Marco Rose,RB Leipzig,4055297
338,4,2,Oleksandr Shovkovskyi,Dynamo Kyiv,4056034
14589,8,3,Marcel Licka,FK Orenburg,4056156
16704,7,3,Vladimir Ivic,FK Krasnodar,4056162
1186,16,0,Pep Clotet,Torpedo Moscow,4056357
2696,13,1,Igor Osinjkin,Krylya Sovetov Samara,4056376
18303,5,2,Ruslan Rotan,FK Oleksandriya,4066669
61825,8,2,Volodymyr Sharan,FK Minaj,4070618
12438,15,2,Gadzhi Gadzhiev,Volga Nizhniy Novgorod (- 2016),2222601
2696,13,0,Andrey Kobelev,Krylya Sovetov Samara,2222604
932,6,1,Slaven Bilic,Lokomotiv Moscow,2222631
932,3,1,Slaven Bilic,Lokomotiv Moscow,2222659
12438,16,1,Gadzhi Gadzhiev,Volga Nizhniy Novgorod (- 2016),2222662
4128,11,1,Rustem Khuzin,Amkar Perm,2222748
2700,3,0,Guus Hiddink,Anzhi Makhachkala ( -2022),2222791
2740,12,0,Vadym Yevtushenko,Vorskla Poltava,2222969
6996,16,1,Oleksandr Sevidov,Goverla Uzhgorod (- 2016),2222995
2227,14,1,Oleg Luzhnyi,SK Tavriya Simferopol ( - 2022),2222999
338,3,1,Yuriy Semin,Dynamo Kyiv,2223011
6993,8,1,Mykola Pavlov,FK Mariupol,2223050
660,1,1,Mircea Lucescu,Shakhtar Donetsk,2223052
3592,12,1,Oleg Taran,Kryvbas Kryvyi Rig,2223110
338,4,2,Oleg Blokhin,Dynamo Kyiv,2223120
6994,16,0,Sergiy Zaytsev,Metalurg Zaporizhya (-2016),2223125
6414,3,1,Myron Markevych,Metalist Kharkiv (- 2016),2223133
595,16,2,FrÃ©dÃ©ric Hantz,SC Bastia,2223865
40,5,2,Francis Gillot,FC Girondins Bordeaux,2223867
1423,6,2,Daniel Sanchez,Valenciennes FC,2223889
244,2,0,Ã‰lie Baup,Olympique Marseille,2223908
595,12,2,FrÃ©dÃ©ric Hantz,SC Bastia,2223913
1041,2,4,RÃ©mi Garde,Olympique Lyon,2223923
1159,20,3,Jean Fernandez,AS Nancy-Lorraine,2223943
1421,15,2,Hubert Fournier,Stade Reims,2224000
1041,1,2,RÃ©mi Garde,Olympique Lyon,2224006
40,4,2,Francis Gillot,FC Girondins Bordeaux,2224015
1158,8,1,Christian Gourcuff,FC Lorient,2224041
244,2,1,Ã‰lie Baup,Olympique Marseille,2224067
1082,6,3,Rudi Garcia,LOSC Lille,2224083
1423,11,1,Daniel Sanchez,Valenciennes FC,2224098
595,16,0,FrÃ©dÃ©ric Hantz,SC Bastia,2224106
1147,15,1,Albert Emon,AC Ajaccio,2224132
1041,4,0,RÃ©mi Garde,Olympique Lyon,2224172
1147,16,1,Albert Emon,AC Ajaccio,2224179
273,13,0,FrÃ©dÃ©ric Antonetti,Stade Rennais FC,2224185
3426,11,0,Jess Thorup,Esbjerg fB,2224568
5724,5,2,Colin Todd,Randers FC,2224594
865,9,1,Glen Riddersholm,FC Midtjylland,2224633
206,11,2,Auri Skarbalius,BrÃ¶ndby IF,2224653
173,5,1,Troels Bech,Odense Boldklub,2224702
5724,3,2,Colin Todd,Randers FC,2224706
190,1,2,Ariel Jacobs,FC Copenhagen,2224723
1411,8,1,Enzo Scifo,RAEC Mons (- 2015),2224761
354,9,1,Harm van Veldhoven,KV Mechelen,2224762
157,13,0,VÃ­ctor FernÃ¡ndez,KAA Gent,2224928
379,11,0,Sam Allardyce,West Ham United,2225444
1071,15,0,Roberto MartÃ­nez,Wigan Athletic,2225467
289,12,1,Martin O'Neill,Sunderland AFC,2225479
1123,16,1,Chris Hughton,Norwich City,2225519
2288,12,0,Michael Laudrup,Swansea City,2225522
985,2,0,Sir Alex Ferguson,Manchester United,2225546
762,15,0,Alan Pardew,Newcastle United,2225551
984,4,1,Steve Clarke,West Bromwich Albion,2225569
281,2,0,Roberto Mancini,Manchester City,2225704
1032,19,1,Brian McDermott,Reading FC,2225710
985,1,1,Sir Alex Ferguson,Manchester United,2225716
405,17,2,Paul Lambert,Aston Villa,2225734
2288,9,1,Michael Laudrup,Swansea City,2225759
2288,8,3,Michael Laudrup,Swansea City,2225770
43,3,0,John McGlynn,Heart of Midlothian FC,2227446
370,3,1,Craig Brown,Aberdeen FC,2227450
2451,11,2,Terry Butcher,Inverness Caledonian Thistle FC,2227471
2578,4,1,Steve Lomas,St. Johnstone FC,2227475
903,4,0,Pat Fenlon,Hibernian FC,2227491
43,8,0,John McGlynn,Heart of Midlothian FC,2227499
2451,2,0,Terry Butcher,Inverness Caledonian Thistle FC,2227503
969,13,1,RenÃ© Girard,Montpellier HSC,2229848
1159,8,1,Jean Fernandez,AS Nancy-Lorraine,2229849
1158,7,2,Christian Gourcuff,FC Lorient,2229855
157,8,1,Trond Sollied,KAA Gent,2229919
903,12,0,Pat Fenlon,Hibernian FC,2230286
42,5,0,Mirko Slomka,Hannover 96,2231399
41,17,2,Thorsten Fink,Hamburger SV,2231424
42,12,1,Mirko Slomka,Hannover 96,2231447
60,10,2,Christian Streich,SC Freiburg,2231480
27,1,2,Jupp Heynckes,Bayern Munich,2231523
39,11,0,Thomas Tuchel,1.FSV Mainz 05,2231526
82,13,3,Dieter Hecking,VfL Wolfsburg,2231581
86,13,1,Thomas Schaaf,SV Werder Bremen,2231596
33,5,0,Jens Keller,FC Schalke 04,2231613
65,18,2,Frank Kramer,SpVgg Greuther FÃ¼rth,2231615
4,11,2,Michael Wiesinger,1.FC Nuremberg,2231622
533,17,3,Marco Kurz,TSG 1899 Hoffenheim,2231632
38,17,0,Norbert Meier,Fortuna DÃ¼sseldorf,2231661
167,16,0,Markus Weinzierl,FC Augsburg,2231668
533,17,2,Markus Gisdol,TSG 1899 Hoffenheim,2231673
1085,15,0,JosÃ© Mota,VitÃ³ria SetÃºbal FC,2240040
979,10,3,Casquilha,Moreirense FC,2240095
4750,11,0,SÃ©rgio ConceiÃ§Ã£o,SC Olhanense,2240104
2425,5,1,Nuno EspÃ­rito Santo,Rio Ave FC,2240157
2420,6,3,Rui VitÃ³ria,VitÃ³ria GuimarÃ£es SC,2240203
2420,5,2,Rui VitÃ³ria,VitÃ³ria GuimarÃ£es SC,2240221
982,9,2,Manuel Machado,CD Nacional,2240226
2424,13,1,Paulo Alves,Gil Vicente FC,2240249
621,20,0,Marcelo Bielsa,Athletic Bilbao,2242829
1049,14,0,Mauricio Pellegrino,Valencia CF,2242846
366,8,1,Miroslav Djukic,Real Valladolid CF,2242896
1084,5,1,Manuel Pellegrini,MÃ¡laga CF,2242900
142,20,1,Manolo JimÃ©nez,Real Zaragoza,2242946
237,15,1,JoaquÃ­n CaparrÃ³s,RCD Mallorca,2243005
142,13,1,Manolo JimÃ©nez,Real Zaragoza,2243016
1084,6,1,Manuel Pellegrini,MÃ¡laga CF,2243026
150,5,2,Pepe Mel,Real Betis BalompiÃ©,2243062
142,13,0,Manolo JimÃ©nez,Real Zaragoza,2243081
237,19,2,JoaquÃ­n CaparrÃ³s,RCD Mallorca,2243083
16795,14,3,Lucas Alcaraz,Granada CF,2243128
16795,16,0,Lucas Alcaraz,Granada CF,2243152
366,13,1,Miroslav Djukic,Real Valladolid CF,2243187
825,10,2,Ersun Yanal,Eskisehirspor,2243874
36,6,0,Aykut Kocaman,Fenerbahce,2243878
825,9,1,Ersun Yanal,Eskisehirspor,2243903
10484,5,3,Shota Arveladze,Kasimpasa,2243916
6890,14,1,Carlos Carvalhal,Basaksehir FK,2243960
19771,16,1,Hamza Hamzaoglu,Akhisarspor,2243968
825,5,1,Ersun Yanal,Eskisehirspor,2243979
6890,15,1,BÃ¼lent Korkmaz,Basaksehir FK,2244003
20,6,3,Hikmet Karaman,Bursaspor,2244046
449,9,1,Tolunay Kafkas,Trabzonspor,2244047
2292,14,2,Yilmaz Vural,Elazigspor,2244110
20,5,1,Hikmet Karaman,Bursaspor,2244112
141,1,1,Ãœmit Davala,Galatasaray,2244141
10484,4,2,Shota Arveladze,Kasimpasa,2244148
338,,1,Yuriy Semin,Dynamo Kyiv,2246244
1071,19,1,Roberto MartÃ­nez,Wigan Athletic,2250153
403,15,0,Jurgen Streppel,Willem II Tilburg,2250196
1268,6,3,Maurice Steijn,ADO Den Haag,2250206
1304,9,3,Peter Bosz,Heracles Almelo,2250233
610,4,2,Frank de Boer,Ajax Amsterdam,2250253
192,15,2,Ruud Brood,Roda JC Kerkrade,2250272
1269,14,2,Art Langeler,PEC Zwolle,2250293
1426,16,0,Ton Lokhoff,VVV-Venlo,2250294
306,15,1,Marco van Basten,SC Heerenveen,2250342
1090,11,1,Gertjan Verbeek,AZ Alkmaar,2250364
1268,8,1,Maurice Steijn,ADO Den Haag,2250383
610,2,2,Frank de Boer,Ajax Amsterdam,2250387
1304,11,1,Peter Bosz,Heracles Almelo,2250392
499,4,1,Fred Rutten,Vitesse Arnhem,2250400
234,4,0,Ronald Koeman,Feyenoord Rotterdam,2250411
683,2,2,Leonardo Jardim,Olympiacos Piraeus,2250475
605,11,1,Makis Katsavakis,Aris Thessaloniki,2250492
2441,16,1,,AEK Athens,2250499
7185,13,1,Savvas Pantelidis,Panthrakikos Komotini,2250502
1038,8,1,Ciro Ferrara,UC Sampdoria,2251270
410,17,2,Francesco Guidolin,Udinese Calcio,2251291
12,5,3,,AS Roma,2251295
506,1,0,Massimo Carrera,Juventus FC,2251305
416,9,0,Gian Piero Ventura,Torino FC,2251340
1390,10,1,Ivo Pulga,Cagliari Calcio,2251350
1627,11,2,Rolando Maran,Catania FC,2251362
800,9,2,Stefano Colantuono,Atalanta BC,2251371
2921,18,0,Giovanni Stroppa,Delfino Pescara 1936,2251391
6195,3,1,Walter Mazzarri,SSC Napoli,2251416
5,7,4,Massimiliano Allegri,AC Milan,2251422
46,4,1,Andrea Stramaccioni,Inter Milan,2251456
12,9,1,Aurelio Andreazzoli,AS Roma,2251490
1390,14,2,Ivo Pulga,Cagliari Calcio,2251495
506,1,0,Antonio Conte,Juventus FC,2251497
2921,19,0,Cristiano Bergodi,Delfino Pescara 1936,2251509
458,19,0,Gian Piero Gasperini,Palermo FC,2251520
252,17,2,Davide Ballardini,Genoa CFC,2251536
430,4,1,Vincenzo Montella,ACF Fiorentina,2251545
1387,18,2,Giuseppe Iachini,Siena FC,2251552
12,5,1,Aurelio Andreazzoli,AS Roma,2251599
2921,20,0,Cristian Bucchi,Delfino Pescara 1936,2251618
1519,7,3,Peter Houston,Dundee United FC,2251958
511,12,1,Barry Smith,Dundee FC,2251961
36,,1,Aykut Kocaman,Fenerbahce,2254401
3057,8,3,Ricardo SÃ¡ Pinto,Standard LiÃ¨ge,2987581
172,2,3,Felice MazzÃ¹,RSC Charleroi,2987586
1091,,2,Razvan Lucescu,PAOK Thessaloniki,3035115
667,16,1,Thierry Laurey,RC Strasbourg Alsace,3047476
415,15,0,Alain Casanova,FC Toulouse,3047598
415,15,1,Alain Casanova,FC Toulouse,3047690
667,11,1,Thierry Laurey,RC Strasbourg Alsace,3047895
1237,15,0,Chris Hughton,Brighton & Hove Albion,3050233
1237,13,0,Chris Hughton,Brighton & Hove Albion,3050338
148,3,1,Mauricio Pochettino,Tottenham Hotspur,3050466
132,17,1,Mitchell van der Gaag,NAC Breda,3061084
5818,14,2,Allan Kuhn,Hobro IK,3063630
2414,6,2,Bo Henriksen,AC Horsens,3063684
3325,10,2,Daniel Ramos,GD Chaves,3069416
1301,15,0,Petit,CS MarÃ­timo,3069610
868,13,1,Mustafa Kaplan,MKE AnkaragÃ¼cÃ¼,3069935
114,3,7,Senol GÃ¼nes,Besiktas JK,3069947
868,13,2,Mustafa Kaplan,MKE AnkaragÃ¼cÃ¼,3069953
681,11,0,Asier Garitano,Real Sociedad,3079473
368,3,1,Pablo MachÃ­n,Sevilla FC,3079509
367,19,1,MÃ­chel,Rayo Vallecano,3079524
367,19,1,MÃ­chel,Rayo Vallecano,3080816
368,6,1,JoaquÃ­n CaparrÃ³s,Sevilla FC,3080844
130,12,0,Roberto D'Aversa,Parma Calcio 1913,3081052
368,6,1,JoaquÃ­n CaparrÃ³s,Sevilla FC,3081112
862,20,0,Domenico Di Carlo,Chievo Verona,3081158
749,17,1,Giuseppe Iachini,FC Empoli,3081294
862,20,1,Domenico Di Carlo,Chievo Verona,3081303
749,18,2,Aurelio Andreazzoli,FC Empoli,3081334
3057,4,3,Michel Preud'homme,Standard LiÃ¨ge,3084097
15,9,3,Peter Bosz,Bayer 04 Leverkusen,3093779
28643,13,3,Yannick Ferrera,SK Beveren,3099231
601,11,3,Glen De Boeck,KV Kortrijk,3099239
172,10,1,Felice MazzÃ¹,RSC Charleroi,3099253
3057,6,1,Michel Preud'homme,Standard LiÃ¨ge,3099268
6992,11,0,Angel Chervenkov,Chornomorets Odessa,3114083
3057,7,0,Michel Preud'homme,Standard LiÃ¨ge,3117078
2477,,5,Fabri,Karpaty Lviv (-2021),3126184
1091,1,2,Razvan Lucescu,PAOK Thessaloniki,3127392
3057,4,0,Michel Preud'homme,Standard LiÃ¨ge,3139979
200,5,0,Dick Advocaat,FC Utrecht,3141161
2760,,1,Gary Caldwell,Partick Thistle FC,3164020
1091,,0,Razvan Lucescu,PAOK Thessaloniki,3166277
667,18,0,Thierry Laurey,RC Strasbourg Alsace,3199406
415,14,2,Alain Casanova,FC Toulouse,3199431
3911,13,0,Olivier Dall'Oglio,Stade Brestois 29,3199591
127,18,2,Steffen Baumgart,SC Paderborn 07,3203734
418,1,3,ZinÃ©dine Zidane,Real Madrid,3208619
368,2,2,Julen Lopetegui,Sevilla FC,3208622
2414,12,0,Bo Henriksen,AC Horsens,3210354
2778,8,1,Flemming Pedersen,FC Nordsjaelland,3210368
60949,10,0,Juan Ferrando,Volos NPS,3211132
1075,16,0,Ricardo SÃ¡ Pinto,SC Braga,3211398
1075,9,2,Ricardo SÃ¡ Pinto,SC Braga,3211480
720,2,2,SÃ©rgio ConceiÃ§Ã£o,FC Porto,3211836
200,3,4,John van den Brom,FC Utrecht,3212119
1075,4,3,CustÃ³dio,SC Braga,3212646
1132,10,1,Sean Dyche,Burnley FC,3219124
1132,9,0,Sean Dyche,Burnley FC,3219214
114,7,1,Senol Fidan,Besiktas JK,3223181
