player_id,player_code
66707,cengiz-bicer
66784,fatos-beqiraj
67089,juan-cala
67721,mohammed-rabiu
67850,andreas-ludwig
67925,douglas-jesus
68335,eoin-doyle
69110,youssef-msakni
69458,wires
69636,mathias-gehrt
70359,david-simao
70870,miguel-dachelet
70950,mohamed-diame
71226,raffaele-de-vita
71302,gianluca-musacci
71442,darren-jamieson
71503,gordon-smith
71701,oliver-lund
71905,coke
72484,manu-barreiro
72799,samuel-scheimann
73244,jose-carlos
73333,vegar-hedenstad
73636,hernan-perez
73681,shota-bibilov
74124,lennard-sowah
74295,aleksandar-ignjovski
74561,victor-ibanez
74683,nemanja-matic
75471,yannick-bolasie
75637,erik-moberg
75640,artur-sobiech
76569,kerim-avci
76852,renato-santos
77383,eiji-kawashima
77932,jefferson-montero
78147,fabian-klos
78332,sergey-balanovich
78570,anthony-moris
79242,gabriel
79269,taylan-eliacik
79620,ali-crawford
79972,baptiste-schmisser
80060,willi-evseev
81349,antonio-jakolis
81532,celso-borges
81743,fausto-rossi
81789,maya-yoshida
82324,stoppila-sunzu
84898,geoffrey-castillion
85164,andre-hoffmann
85177,nathaniel-clyne
85314,oscar
85345,mael-lepicier
86097,roman-akbashev
86202,antonio-rudiger
87245,borislav-stoychev
87504,fernando-alloco
88074,freek-heerkens
88103,james-rodriguez
88688,federico-furlan
89205,mark-gundelach
89313,eneko-boveda
89659,shawn-parker
90024,alfred-finnbogason
90478,lukas-van-eenoo
90600,josselin-thibaut
90660,heldon
90800,diego-rodriguez
90960,burak-calik
91563,aleksey-babyr
91722,anton-golenkov
91956,magaye-gueye
92141,victor-ibarbo
92163,quentin-pottiez
92164,mats-rits
92385,yoann-andreu
92701,vladimir-weiss
93689,kevin-diogo
93764,malick-seck
93795,facundo-ferreyra
94348,nikola-trujic
94757,cuneyt-koz
94783,santiago-vergini
95267,pedro-queiros
95649,oleksandr-noyok
95707,volodymyr-tanchyk
95753,nicolaj-kohlert
95755,viktor-fischer
97562,takayuki-seto
97808,dmytro-kozban
98113,mustafa-akbas
98133,abdulkadir-ozdemir
98340,florian-taulemesse
98428,balazs-megyeri
98556,evgeniy-pesegov
98557,artem-deljkin
98827,ousseynou-cisse
98968,valeriy-chuperka
99227,andrea-bertolacci
99397,karl-darlow
100127,cristiano-figueiredo
100188,denis-dorozhkin
100507,juan-carlos-paredes
101000,jonas-henriksen
101355,lucio
101808,mamadou-wague
101922,fabio-pisacane
101954,antons-kurakins
102745,luca-ceppitelli
103381,tiquinho-soares
103600,vicente-arze
105500,antonio-german
105534,artur-kaskov
105842,mariano-bittolo
106014,evrard-zag
106252,adam-barton
106365,jon-bateson
106405,jeffrey-gouweleeuw
107010,stefan-savic
107965,jeffrey-ket
108636,nosa-igiebor
108880,koen-casteels
110708,fredrik-gulbrandsen
110723,nathaniel-lagrou
110867,jed-steer
110931,marco-fossati
111078,emil-forsberg
111200,fabio-pacheco
112611,leozinho
113358,sofiane-hanni
114491,sakib-aytac
114493,ilyas-cakmak
115763,koray-gunter
116094,philip-fontein
