club_id,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_seats,stadium_name,last_season
3302,ES1,25,25,13,52,5,18331,Power Horse Stadium,2023
39,L1,27,26.1,13,48.1,7,33305,Mewa Arena,2023
3999,GR1,36,28.3,21,58.3,4,5500,Stadio Lamia Athanasios Diakos,2023
405,GB1,26,26.6,19,73.1,15,42682,Villa Park,2023
441,GR1,27,27.3,15,55.6,0,11700,Stadio Neas Smyrnis,2021
5219,GR1,8,28.1,1,12.5,0,3000,Ethniko Stadio Kerkyras,2017
543,GB1,26,25.5,22,84.6,14,32050,Molineux Stadium,2023
60,L1,27,25.9,9,33.3,9,34700,Europa-Park Stadion,2023
61825,UKR1,27,24.9,1,3.7,0,1312,Minaj-Arena,2023
63007,UKR1,26,28,0,,0,10321,Cherkasy-Arena,2023
660,UKR1,34,23.6,11,32.4,15,34725,Arena Lviv,2023
6894,TR1,0,,0,,0,2000,Kayseri Atatürk Spor Kompleksi Yan Açık Saha,2014
6912,PO1,26,24.7,19,73.1,3,6565,Estádio do Vizela,2023
714,ES1,26,25.4,6,23.1,4,40500,RCDE Stadium,2022
798,NL1,29,22.9,12,41.4,1,4400,Van Donge & De Roo Stadion - Woudestein,2023
862,IT1,0,,0,,0,31045,Marcantonio Bentegodi,2018
8970,IT1,31,24.5,18,58.1,2,16227,Benito Stirpe,2023
9007,UKR1,0,,0,,0,70050,NSK Olimpisky,2018
12321,ES1,25,26.5,11,44,6,13286,Montilivi,2023
1241,SC1,29,27,16,55.2,2,9512,Tony Macaroni Arena,2023
127,L1,26,25.7,5,19.2,1,15000,Home Deluxe Arena,2019
19,IT1,28,25.1,12,42.9,1,19550,Mario Rigamonti,2019
23,L1,30,25.6,11,36.7,2,23325,EINTRACHT-Stadion,2013
33,L1,27,26.4,12,44.4,4,62271,Veltins-Arena,2022
350,GB1,30,25.3,18,60,7,32702,Bramall Lane,2023
3592,UKR1,31,24.6,7,22.6,3,2500,Girnyk,2023
369,DK1,24,25.1,8,33.3,4,10000,Lyngby Stadion,2023
3725,RU1,27,26.6,12,44.4,5,30200,Akhmat-Arena,2023
41201,RU1,0,,0,,0,44149,Mordovia Arena,2020
472,ES1,26,26.5,8,30.8,3,32400,Estadio de Gran Canaria,2023
520,BE1,24,23,15,62.5,4,29062,Jan-Breydel-Stadion,2023
6418,GR1,29,25.3,12,41.4,4,7321,Gipedo Panetolikou,2023
653,GR1,26,27.8,15,57.7,4,9088,Gipedo Theodoros Vardinogiannis,2023
6994,UKR1,0,,0,,0,11883,Slavutych Arena,2015
7378,PO1,27,24.1,20,74.1,2,6000,Portimonense Estádio,2023
982,PO1,27,25,12,44.4,2,5586,Estádio da Madeira,2020
1005,IT1,31,23.4,23,74.2,6,31559,Ettore Giardiniero,2023
1038,IT1,33,24.3,5,15.6,4,36348,Luigi Ferraris,2022
1091,GR1,29,26.5,21,72.4,8,28703,Toumba Stadium,2023
1210,IT1,29,24.1,5,17.2,0,19238,Armando Picchi,2013
1245,BE1,27,24,18,66.7,6,8331,Kehrweg-Stadion,2023
1426,NL1,28,22.9,7,25,0,8000,Covebo Stadion - De Koel,2020
1533,ES1,26,28.3,5,19.2,0,8164,Ipurua,2020
180,GB1,29,24.5,20,69,13,32384,St Mary's Stadium,2022
