game_id,competition_id,season,round,date,aggregate,competition_type
2884020,TR1,2017,22. Matchday,16/02/18,1:01,domestic_league
2884465,PO1,2017,26. Matchday,11/03/18,1:00,domestic_league
2884489,PO1,2017,29. Matchday,07/04/18,2:02,domestic_league
2885400,UKR1,2017,5. Matchday,13/08/17,1:00,domestic_league
2888371,NL1,2017,31. Matchday,15/04/18,3:01,domestic_league
2891525,GR1,2017,15. Matchday,16/12/17,0:01,domestic_league
2891641,GR1,2017,29. Matchday,29/04/18,0:03,domestic_league
2894321,UKR1,2017,12. Matchday,15/10/17,0:00,domestic_league
2897439,IT1,2017,15. Matchday,03/12/17,3:00,domestic_league
2897507,IT1,2017,35. Matchday,28/04/18,4:01,domestic_league
2897533,IT1,2017,37. Matchday,12/05/18,1:02,domestic_league
2899830,ES1,2017,30. Matchday,31/03/18,0:03,domestic_league
2899877,ES1,2017,35. Matchday,27/04/18,2:01,domestic_league
2899918,ES1,2017,37. Matchday,12/05/18,2:02,domestic_league
2901021,FR1,2017,3. Matchday,20/08/17,6:02,domestic_league
2901122,FR1,2017,6. Matchday,16/09/17,3:00,domestic_league
2906845,BE1,2017,4. Matchday,20/08/17,2:03,domestic_league
2906853,BE1,2017,5. Matchday,27/08/17,4:00,domestic_league
2942732,FR1,2017,19. Matchday,20/12/17,3:00,domestic_league
2942869,FR1,2017,32. Matchday,07/04/18,1:01,domestic_league
2958621,BE1,2017,21. Matchday,26/12/17,1:00,domestic_league
2958639,BE1,2017,23. Matchday,24/01/18,1:00,domestic_league
2958641,BE1,2017,23. Matchday,24/01/18,2:02,domestic_league
2985419,UKR1,2017,22. Matchday,03/03/18,2:01,domestic_league
2986475,SC1,2017,31. Matchday,17/03/18,3:00,domestic_league
2987592,BE1,2017,26. Matchday,10/02/18,3:00,domestic_league
2989823,GRP,2017,Quarter-Finals 2nd leg,08/02/18,1:03,domestic_cup
3047432,FR1,2018,1. Matchday,12/08/18,0:02,domestic_league
3047608,FR1,2018,15. Matchday,02/12/18,1:04,domestic_league
3050191,GB1,2018,3. Matchday,25/08/18,1:00,domestic_league
3050282,GB1,2018,12. Matchday,10/11/18,0:00,domestic_league
3050290,GB1,2018,13. Matchday,24/11/18,1:00,domestic_league
3050442,GB1,2018,28. Matchday,27/02/19,2:00,domestic_league
3050552,GB1,2018,37. Matchday,04/05/19,1:00,domestic_league
3050555,GB1,2018,37. Matchday,03/05/19,2:00,domestic_league
3058545,L1,2018,15. Matchday,16/12/18,2:01,domestic_league
3063556,DK1,2018,1. Matchday,13/07/18,3:01,domestic_league
3063587,DK1,2018,5. Matchday,12/08/18,1:00,domestic_league
3063660,DK1,2018,13. Matchday,21/10/18,0:01,domestic_league
3063754,DK1,2018,24. Matchday,01/03/19,1:01,domestic_league
3069412,PO1,2018,5. Matchday,22/09/18,0:02,domestic_league
3069459,PO1,2018,8. Matchday,26/10/18,1:01,domestic_league
3069535,PO1,2018,15. Matchday,03/01/19,0:01,domestic_league
3069594,PO1,2018,22. Matchday,17/02/19,0:01,domestic_league
3074778,UKR1,2018,3. Matchday,04/08/18,1:01,domestic_league
3076653,UKR1,2018,12. Matchday,21/10/18,1:00,domestic_league
3077240,NL1,2018,12. Matchday,10/11/18,2:01,domestic_league
3077255,NL1,2018,14. Matchday,30/11/18,3:03,domestic_league
3079410,ES1,2018,8. Matchday,06/10/18,1:00,domestic_league
3079528,ES1,2018,19. Matchday,13/01/19,1:02,domestic_league
3080824,ES1,2018,26. Matchday,02/03/19,2:01,domestic_league
3080840,ES1,2018,27. Matchday,10/03/19,1:04,domestic_league
3080861,ES1,2018,29. Matchday,31/03/19,1:01,domestic_league
3080979,IT1,2018,6. Matchday,26/09/18,2:00,domestic_league
3081370,IT1,2018,34. Matchday,29/04/19,0:01,domestic_league
3082143,UKR1,2018,15. Matchday,10/11/18,2:01,domestic_league
3088886,RU1,2018,4. Matchday,18/08/18,3:00,domestic_league
